Designação;Evento;Data Recebimento;Data Execução;Banda;Número OS;Ocorrência;Observação
TOBL000016;upgrade;29/10/2013;03/07/2014;50;01126/2014/DC/4600;;
TOBL000016;upgrade;03/07/2014;06/08/2014;60;01246/2014/DC/4600;;
TOBL000016;em ativação;09/04/2013;07/06/2013;0;;;
TOBL000016;pend. implantação;09/04/2013;09/04/2013;0;;;
TOBL000016;upgrade;06/08/2014;15/01/2015;70;01486/2015/DC/4600;;
TOBL000016;mudança de configuração;07/04/2015;20/04/2015;80;01630/2015/DC/4600;7589;"20/04 - Configurado bloco IPV4 no AS do Cliente
07/04 - Inclusão de bloco IPV4 no AS do Cliente
Encaminhado OS para a engenharia atualizar os controles internos"
TOBL000016;upgrade;21/05/2015;21/05/2015;90;01699/2015/DC/4600;8540;
TOBL000016;upgrade;25/03/2015;25/03/2015;80;01606/2015/DC/4600;7323;
TOBL000016;upgrade;25/09/2015;25/09/2015;100;01908/2015/DC/4600;11545;
TOBL000016;ativado;07/06/2013;26/06/2013;20;0218/2013/DC/4600;;
TOBL000016;upgrade;26/06/2013;29/10/2013;40;0762/2013/DC/4600;;
DFAC000021;em ativação;10/09/2015;00/00/0000;0;;11129;"
14/09 - Handover realizado para operação em 10/09.
11/09 - Agendado com o cliente a ativação de seu circuito para 15/09 as 10h"
DFAC000021;pend. implantação;18/05/2015;10/09/2015;0;;11129;"01/09 - Conexão do rede cliente com rede Telebras programada para 03/09, instalação e ativação do 4001 previsto para 04/09, ativação até 11/09.
25/08 - Em execução, travessia da EPIA já realizada, conclusão da infra prevista para 28/08, ativação até 04/09.
17/08 - DER deu parecer em 13/08, solicitando que o projeto seja encaminhado pela Telebras para: CEB, DNIT e CAESB, fornecedor adequando os projetos para dar entrada nos órgãos a cima.
10/08 - Pendente liberação do DER, agendado contato para verificar status para 12/08.
05/08 - Aguardando autorização do DER.
28/07 - Aguardando aprovação do DNIT - Diretoria técnica, prazo até 31/07.
21/07 - Aguardando aprovação do DNIT - Diretoria técnica, prazo até 24/07.
13/07 - Aguardando licenciamento pelo DNIT, se encontra na área de SUTEC, informado em 13/07 pela Sra. Heliana para retornarmos o contato em 15/07 para obtermos status do licenciamento.
07/07 - Equipe do DNIT executando vistoria em 07/07, em seguida será encaminhado para área de projetos do DNIT para avaliar a obra, em seguida será emitido licenciamento.
30/06 - Em contato com o responsável no DINIT Sr. Lucas, foi informado que até 02/07 será encaminhado para área no DNIT responsável por agendar a vistoria para emissão da licença da obra. estamos trabalhando para ativação até 17/07.
23/06 - DNIT solicitou ART, forncedor emitiu documento em 19/06, previsto entrega no DNIT até 24/06 - Previsão da aprovação para obra semana do dia 29/06.
16/06 - Boleto da taxa de vistoria do será emitido DNIT até 17/06. Vistoria acorrerá após identificado um pagamento (2 dias de mobilização) previsão de termos a aprovação para obra, na semana do dia 29/06.
02/06 -  Projeto aprovado pelo cliente em 18/05, aguardando licenciamento junto ao DER (departamento de estradas e rodadas) para inicio das obras, protocolo em 13/05/2015 n° 6875.             
18/05 -  Projeto aprovado pelo cliente em 18/05, aguardando licenciamento junto ao DER para inicio das obras."
DFAC000021;pend. implantação;23/04/2015;15/05/2015;0;;11129;"06/05 - Previsão entrega do projeto pelo fornecedor em 13/05. 
"
DFAC000021;pend. cliente;15/05/2015;18/05/2015;0;;11129;15/05 - Aguardando cliente aprovar projeto de rede de fibra óptica.
DFAC000021;alteração para AS;04/09/2015;18/09/2015;0;01869/2015/DC/4600;11129;"18/09 - Efetuado testes com o cliente, OK, porém cliente alega que irá colocar roteador depois da switch da Telebras. Cliente não está usando o circuito. Passado a pendência para a área comercial que ficou de agendar uma audioconferência para identificar as reais necessidades do cliente e corrigir a solicitação junto a DTO
04/09 - Feito pedido para liberação dos blocos IPV4 e IPV6 do cliente"
DFAC000021;pend. comercial;18/09/2015;18/09/2015;0;;11129;"25/09 - Tentativa de conferência sem sucesso porque os envolvidos do cliente não puderam comparecer.
18/09 - Efetuado testes com o cliente, OK, porém cliente alega que irá colocar roteador depois da switch da Telebras. Cliente não está usando o circuito. Passado a pendência para a área comercial que ficou de agendar uma audioconferência para identificar as reais necessidades do cliente e corrigir a solicitação junto a DTO"
DFAC000021;ativado;18/09/2015;18/09/2015;200;01594/2015/DC/4600;11129;"30/11 - Cliente não sabe configurar em sua rede o IPV6. Demanda finalizada.

25/11 - Depois de feitos os testes, o cliente só soube configurar o IPV4. Pediu até 30/11 para poder configurar o seu IPV6.

19/11 - Em contato com o Lemuel foi marcado os testes, já com o roteador do cliente em funcionamento, para 25/11 as 14h 

11/11 - Em virtude da pendência ser do cliente, Trajano considerou o circuito ativado, já que a Telebras executou todos os testes necessários de ativação  Ativado em 18/09/2015

Em 18/09 foi encaminhado ao pós-vendas o welcome kit."
DFAC000021;pend. implantação;19/03/2015;20/03/2015;0;01594/2015/DC/4600;11129;"20/03 - OS e VTA recebido
19/03 - Encaminhada OS e VTA para Engenharia."
DFAC000021;pend. implantação;06/04/2015;22/04/2015;0;;11129;"22/04 - Vistoria realizada ok. Aguardando envio de Projeto pelo fornecedor de FO.
06/04 - Vistoria agendada para 07/04 - contato Lemuel"
DFAC000008;pend. implantação;03/03/2015;14/04/2015;0;;6742;"14/04 - Handover para Operação
06/04 - Lançamento de cabo interno se inicia em 07/04 previsto conclusão p/ até 10/04
25/03 - Ag. Envio do Projeto; Previsão de Ativaçã: 27/04/2015; -  Vistoria  foi realizada em 04/03 - 500 metros de Fibra;
24/03 - Aguardando emissão de OS para construção do acesso
03/03 - Encaminhado OS e VTA para Engenharia."
DFAC000008;em ativação;14/04/2015;14/04/2015;0;;;"14/04 - Solicitado Configuração 
- Agendado com o cliente para 14/04 às 16:00 hs"
DFAC000008;ativado;14/04/2015;14/04/2015;100;01557/2015/DC/4600;6742;"15/04 - Ativado. Tenente Zonzini, fez os testes e validou a ativação

20/04 - Enviado Welcome kit para comercial"
GOBL000006;bloqueado;02/04/2012;01/08/2012;0;;;
GOBL000006;cancelado;01/08/2012;01/10/2012;0;;;
GOBL000006;desativado;17/08/2012;01/10/2012;0;121/2012/DC/4600;;OS de desativação recebida. Circuito desativado
GOBL000006;ativado;00/00/0000;02/04/2012;12;;;
GOBL000022;upgrade;07/08/2013;04/04/2014;50;0946/2014/DC/4600;;
GOBL000022;upgrade;30/07/2013;07/08/2013;30;0534/2013/DC/4600;;
GOBL000022;desativado;08/05/2015;08/05/2015;0;01678/2015/DC/4600;8255;"11/05 - Aberto ocorrência para desconfiguar o circuito, retirar da monitoração e liberar as facilidades de rede
08/05 - Recebido OS de Desativação"
GOBL000022;pend. implantação;08/07/2013;08/07/2013;0;;;
GOBL000022;upgrade;04/04/2014;20/01/2015;60;01497/2015/DC/4600;;
GOBL000022;ativado;08/07/2013;30/07/2013;20;0502/2013/DC/4600;;
TOBL000015;em ativação;20/03/2015;00/00/0000;0;;;20/03 - Em ativação
TOBL000015;mudança de configuração;29/08/2016;08/09/2016;150;0745/2016/DC/4600;23232;"08/09/2016 - Inclusão de Bloco IPV4 liberado pelos parceiros Telebras.
29/08/2016 - Atualização do Projeto.
29/08/2016 - Inclusão de bloco IPV4 no AS do cliente."
TOBL000015;pend. implantação;12/03/2015;13/03/2015;0;;7077;"13/03 - Encaminhado PROA para o cliente
13/03 - Encaminhado OS e VT para Engenharia de Backhall"
TOBL000015;bloqueado;16/04/2015;17/04/2015;0;;7831;16/04 - Cliente bloqueado a pedido da área Comercial da Telebras
TOBL000015;desbloqueado;17/04/2015;17/04/2015;100;;7862;17/04 - Cliente desbloqueado a pedido da área Comercial da Telebras
TOBL000015;pend. cliente;13/03/2015;19/03/2015;0;;;"19/03 - Cliente realizou fusões
13/03 - Aguardando cliente realizar fusões de F.O na caixa R2 Telebras"
TOBL000015;ativado;24/03/2015;24/03/2015;100;01578/2015/DC/4600;7227;24/03 - Ativado
TOBL000015;trânsito;04/03/2016;24/03/2016;150;0165/2016/DC/4600;15534;"24/03/2016 - Transito de AS realizado junto aos peerings
04/03/2016 - Transito de AS: 262598 IPV4: 177.75.224/20 "
TOBL000015;upgrade;25/11/2015;27/11/2015;150;02002/2015/DC/4600;12952;
RSBL000005;pend. implantação;16/12/2015;00/00/0000;0;;;16/12 - Aguardando Eletrosul informar a VLAN do cliente.
RSBL000005;bloqueado;16/09/2016;16/09/2016;0;;24110;16/09/2016 - Bloqueio a pedido da área de arrecadação.
RSBL000005;pend. cliente;23/11/2015;16/12/2015;0;;;"24/11 - Aguardando cliente informar data da fusão para agendarmos acompanhamento da Eletrosul.
23/11 - Aguardando cliente realizar as fusões de FO na caixa R2"
RSBL000005;desbloqueado;19/09/2016;19/09/2016;0;EMAIL;24170;19/09/2016 - Realizado o desbloqueio a pedido da área de arrecadação.
RSBL000005;em ativação;23/12/2015;20/01/2016;0;01960/2015/DC/4600;12472;"20/01 - Circuito ativado e testado pelo cliente.

12/01 - Agendada ativação do circuito para 14/01 as 08h

29/12 - Problema na ativação. Agendado jumper 
para 08/01 e revisão da configuração do circuito.

23/12 - Agendado ativação para 29/12 as 09h

23/12 - Feita configuração do circuito

23/12 - Handover"
RSBL000005;ativado;20/01/2016;20/01/2016;300;01960/2015/DC/4600;12472;20/01 - Circuito ativado e testado pelo cliente.
RSBL000005;pend. implantação;05/11/2015;23/11/2015;0;01960/2015/DC/4600;12472;"16/11 - Aguardando Eletrosul agendar data para o cliente executar fusões em  Santa Vitória do Palmar.
05/01 - Encaminhada OS e VTA para Engenharia."
DFCI000003;pend. implantação;04/06/2014;04/06/2014;0;;;
DFCI000003;ativado;04/06/2014;18/07/2014;0;01101/2014/DC/4600;;
DFTX000040;pend. implantação;19/04/2016;00/00/0000;0;0273/2016/DC/4600;16953;"19/04/16 - Enviado OS e VT para engenharia, solicitando informações de qual o prazo de ativação para repessar a previsão para o Emilson - Diretor Comercial
14/04/16 - Recebido Os de ativação"
DFTX000040;em ativação;27/04/2016;05/05/2016;0;;;"05/05/16 - Técnico D'Angelles realizou o JUMPER da posição FL: A BT:09 DIO 20 / POS. 17 e 18 na sala aonde encontra-se o equipamento da TELEBRAS para sala da ELETRONORTE FL: A BT: 5 DIO: 1 / POS. 11 e 12 , foi realizado o JUMPER na posição 11 e 12 na sala da ELETRONORTE sentido a placa do canal 28 para testar e validado pelo Sr Jean da ELETRONORTE o mesmo solicitou que fosse deixado o JUMPER direto na POS 11 e 12 para rodar o teste pois o mesmo ainda não sabe qual equipamento sera conectado nessas posições,Sr Jean da ELETRONORTE informa que o Sr Robson tambem da ELETRONORTE quem solicitou que fosse deixado o jumper para rodar o teste.
 27/04/16 - Enviado técnico em campo em BSA e ITZ para efetuar jumper"
DFTX000040;ativado;05/05/2016;05/05/2016;10000;0273/2016/DC/4600;16953;"05/05/16 - Recebido e-mail do cliente informando aceite do Circuito
02/05/16 - Enviado ao Pós-vendas e Comercial Documento orientativo para abertura de chamados"
MATX000001;bloqueado;00/00/0000;02/10/2012;0;;;
MATX000001;ativado;15/12/2014;24/12/2014;10000;01444/2014/DC/4400/4600;;
MATX000002;bloqueado;00/00/0000;02/10/2012;0;;;
MATX000002;ativado;15/12/2014;24/12/2014;10000;01445 /2014/DC/4400/4600;;
MATX000002;desativado;28/09/2015;28/09/2015;0;01913/2014/DC/4500;12037;"14/10 - Enviado email para engenharia liberando facilidades de transmissão
28/09 - Recebido OS de desativação

Desativação de circuito previsto no 1o Termo de Ajuste ao Acordo de Cooperação Técnica com a Eletronorte dentro do escopo de equilíbrio financeiro de troca de circuito para o trecho Brasília e Barra do Peixe.															
"
MATX000003;bloqueado;02/10/2012;15/04/2016;0;084 /2012/DC/4400/4600;;15/04/16 - Recebido OS de cancelamento da Ativação
MATX000003;cancelado;15/04/2016;15/04/2016;0;0283/2016/DC/4600;;15/04/16 - Recebido OS de cancelamento da Ativação
MATX000004;bloqueado;02/10/2012;15/04/2016;0;090/2012/DC/4400/4600;;15/04/16 - Ativação do circuito cancelada
MATX000004;cancelado;15/04/2016;15/04/2016;0;0284/2016/DC/4600;;15/04/2016 - Circuito cancelado
MTTX000001;ativado;15/12/2014;24/12/2014;10000;OS - 1446 /2014/DC/4400/4600;;
MTTX000002;ativado;15/12/2014;24/12/2014;10000;1447 /2014/DC/4400/4600;;
MTTX000003;mudança de configuração;16/07/2015;16/07/2015;10000;01784/2015/DC/4600;9841;16/07 - Mudança de protocolo de rede para 10Gbps LAN nas duas pontas
MTTX000003;ativado;15/12/2014;24/12/2014;10000;1448 /2014/DC/4400/4600;;
MTTX000009;em ativação;27/08/2015;17/09/2015;0;;;27/08 - Projeto de TX para este atendimento já está disponível na pasta do cliente.     Como ainda precisa ser confirmado/executado o jumper nos sites Telebras, tanto em Brasília Geral quanto em Barra do Peixe,
MTTX000009;ativado;17/09/2015;17/09/2015;10000;01783/2015/DC/4600;9934;"18/09 - Enviado email para o cliente informando conclusão dos testes de ativação e welcomekit para o comercial encaminhar ao cliente
17/09 - Realizado testes com sucesso, feito testes com equipamento da Eletronorte em BSA e Loop em Barra do Peixe, testes validados pela equipe Eletronorte (Sr Robson). "
MTTX000009;pend. implantação;20/07/2015;27/08/2015;0;01783/2015/DC/4600;9934;"27/08/2015 - Enenharia já entregou o projeto do circuito para equipe de ativação
10/08/2015 - Fabricio fazendo o projeto do cliente
20/07 - Recebido OS e VT.  Encaminhado para engenharia de backbone, área DWDM (dt_eng_dwdm)"
PATX000007;ativado;08/08/2016;05/08/2016;10000;001275/2014/DC/4600;6805;"08/08/16 - Recebido email do cliente (Luciano Duarte Nascimento Franco) dando aceite no circuito no dia 05/08.  Email salvo no Databook.
- Encaminhado para o pós-vendas documento de abertura de chamados."
PATX000007;pend. cliente;25/02/2015;08/08/2016;0;001275/2014/DC/4600;6805;"21/06/2016 - Continuamos aguardando PROA do Cliente.

31/05/2016 - Continuamos aguardando PROA do Cliente.

25/05/2016 - Continuamos aguardando PROA do Cliente.

11/05/2016 - Continuamos aguardando PROA do Cliente.

02/05/2016 - Continuamos aguardando PROA do Cliente.

26/04/2016 - Continuamos aguardando PROA do Cliente.

19/04/2016 - Continuamos aguardando PROA do Cliente.

09/06 (22/04),(25/02) - Continuamos aguardando PROA do Cliente.

Também estamos com problemas no Linhão"
PATX000007;pend. comercial;28/08/2014;16/09/2014;0;;;
PATX000007;pend. comercial;30/09/2014;17/10/2014;0;;;
PATX000007;pend. implantação;17/10/2014;25/02/2015;0;001275/2014/DC/4600;6805;Enviado para Implantação
PATX000007;pend. implantação;22/10/2014;28/08/2014;0;;;
PATX000007;pend. implantação;16/09/2014;30/09/2014;0;;;
TOTX000001;bloqueado;02/10/2012;15/04/2016;0;092/2012/DC/4400/4600;;15/04/16 - Recebido OS de cancelamento da Ativação
TOTX000001;cancelado;15/04/2016;15/04/2016;0;0274/2016/DC/4600;;15/04/16 - Recebido OS de cancelamento da Ativação
TOTX000002;bloqueado;02/10/2012;15/04/2016;0;080/2012/DC/4400/4600;;15/04/16 - Recebido OS de cancelamento da Ativação
TOTX000002;cancelado;15/04/2016;15/04/2016;0;0275/2016/DC/4600;;15/04/16 - Recebido OS de cancelamento da Ativação
TOTX000003;bloqueado;02/10/2012;15/04/2016;0;081/2012/DC/4400/4600;;15/04/16 - Recebido OS de cancelamento da Ativação
TOTX000003;cancelado;15/04/2016;15/04/2016;0;0278/2016/DC/4600;;15/04/16 - Recebido OS de cancelamento da Ativação
TOTX000004;bloqueado;02/10/2012;15/04/2016;0;085 /2012/DC/4400;;15/04/16 - Recebido OS de cancelamento da Ativação
TOTX000004;cancelado;15/04/2016;15/04/2016;0;0282/2016/DC/4600;;15/04/16 - Recebido OS de cancelamento da Ativação
TOTX000005;bloqueado;02/10/2012;15/04/2016;0;088 /2012/DC/4400/4600;;15/04/16 - Recebido OS de cancelamento da Ativação
TOTX000005;cancelado;15/04/2016;15/04/2016;0;0279/2016/DC/4600;;15/04/16 - Recebido OS de cancelamento da Ativação
TOTX000006;bloqueado;02/10/2012;15/04/2016;0;091/2012/DC/4400/4600;;15/04/16 - Recebido OS de cancelamento da Ativação
TOTX000006;cancelado;15/04/2016;15/04/2016;0;0276/2016/DC/4600;;15/04/16 - Recebido OS de cancelamento da Ativação
TOTX000007;bloqueado;02/10/2012;15/04/2016;0;082 /2012/DC/4400;;15/04/16 - Recebido OS de cancelamento da Ativação
TOTX000007;cancelado;15/04/2016;15/04/2016;0;0277/2016/DC/4600;;15/04/16 - Recebido OS de cancelamento da Ativação
TOTX000008;bloqueado;02/10/2012;15/04/2016;0;089/2012/DC/4400/4600;;15/04/16 - Recebido OS de cancelamento da Ativação
TOTX000008;cancelado;15/04/2016;15/04/2016;0;0281/2016/DC/4600;;15/04/16 - Recebido OS de cancelamento da Ativação
TOTX000009;bloqueado;02/10/2012;15/04/2016;0;087/2012/DC/4400/4600;;15/04/16 - Recebido OS de cancelamento da Ativação
TOTX000009;cancelado;15/04/2016;15/04/2016;0;0280/2016/DC/4600;;15/04/16 - Recebido OS de cancelamento da Ativação
DFL2000012;em ativação;26/04/2013;01/07/2013;0;;;
DFL2000012;ativado;01/07/2013;10/07/2013;1000;0253/2013/DC/4600;;
DFL2000012;pend. implantação;26/04/2013;26/04/2013;0;;;
DFL2000017;ativado;18/10/2013;10/03/2014;1000;0526/2013/DC/4400;;
DFL2000017;em ativação;29/07/2013;17/10/2013;0;;;
DFL2000017;em ativação;18/10/2013;18/10/2013;0;;;
DFL2000017;em teste;17/10/2013;18/10/2013;0;;;
DFL2000017;pend. implantação;29/07/2013;29/07/2013;0;;;
PRAC000002;em ativação;12/04/2013;02/05/2013;0;;;
PRAC000002;ativado;02/05/2013;03/05/2013;130;0198/2013/DC/4600;;
PRAC000002;pend. implantação;12/04/2013;12/04/2013;0;;;
PRL2000003;ativado;18/10/2013;10/03/2014;1000;0739/2013/4400/4600;;
PRL2000003;pend. implantação;16/10/2013;16/10/2013;0;;;
PRL2000003;em ativação;18/10/2013;18/10/2013;0;;;
PRL2000003;em teste;16/10/2013;18/10/2013;0;;;
RJL2000004;ativado;18/10/2013;10/03/2014;1000;0527/2013/DC/4400;;
RJL2000004;em teste;29/07/2013;18/10/2013;0;;;
RJL2000004;pend. implantação;29/07/2013;29/07/2013;0;;;
ROTX000002;em ativação;20/05/2013;08/06/2013;0;;;
ROTX000002;ativado;08/06/2013;12/08/2013;1000;0278/2013/4400/4600;;
ROTX000002;pend. implantação;20/05/2013;20/05/2013;0;;;
ROTX000003;em ativação;20/05/2013;08/06/2013;0;;;
ROTX000003;ativado;08/06/2013;12/08/2013;1000;0279/2013/4400/4600;;
ROTX000003;pend. implantação;20/05/2013;20/05/2013;0;;;
DFL3000034;pend. implantação;19/09/2016;00/00/0000;0;0148/2016/DC/4600;18693;19/09/2016 - Em obra, previsto conclusão até 30/09.
DFL3000034;pend. implantação;19/05/2016;09/09/2016;0;0148/2016/DC/4600;18693;"29/08/2016 - Em obra, previsão de término 05/09.
15/08/2016 - Inicio de obra em 26/08. Previsão de término 05/09
01/08/2016 - Aguardando cronograma de execução do fornecedor previsto para 02/08.
25/07/2016 - Aguardando entrega do projeto pelo fornecedor, previsto para até 29/07
18/07/2016 - Aguardando entrega do projeto pelo fornecedor, previsto para até 22/07.
12/07/2016 - Vistoria realizada em 23/06, Aguardando entrega do projeto previsto para 15/07
05/07/2016 - Vistoria realizada em 23/06, Aguardando entrega do projeto.
27/06/2016 - Vistoria realizada em 23/06, previsto entrega do projeto para 04/07.
20/06/2016: Vistoria será realizada em 21/06, previsto projeto para até 04/07, cronograma da obra após entrega do projeto, até 08/07 junto com 2 EBC, MIn da Cultura Biblioteca. (Previsto duração da obra de 10 dias)
14/06/2016: Vistoria será realizada em 21/06, previsto projeto para até 04/07, cronograma da obra após entrega do projeto, até 08/07 junto com 2 EBC, MIn da Cultura Biblioteca. (Previsto duração da obra de 10 dias)
30/05/2016 - Em agendamento de vistoria
24/05/2016 -  Em geração de ID, alocação de verba para emissão de PC de vistoria e projeto.
19/05/2016 - Encaminhadas OS e VTA para a Engenharia."
DFL3000034;pend. comercial;09/09/2016;19/09/2016;0;;;05/09/2016 - Aguardando definição do comercial para seguir com lançamento de FO.
DFL3000035;pend. implantação;19/09/2016;00/00/0000;0;0149/2016/DC/4600;18695;19/09/2016 - Em obra, previsto conclusão até 30/09.
DFL3000035;pend. implantação;19/05/2016;09/09/2016;0;0149/2016/DC/4600;18695;"29/08/2016 - Em obra, previsão de término 05/09.
15/08/2016 - Inicio de obra em 26/08. Previsão de término 05/09
01/08/2016 - Aguardando cronograma de execução do fornecedor previsto para 02/08.
25/07/2016 - Projeto não entregue, será solicitado nova data.
18/07/2016 - Aguardando entrega do projeto pelo fornecedor, previsto para até 22/07.
12/07/2016 - Vistoria realizada em 23/06, Aguardando entrega do projeto previsto para 15/07
05/07/2016 - Vistoria realizada em 23/06, Aguardando entrega do projeto.
27/06/2016 - Vistoria realizada em 23/06, previsto entrega do projeto para 04/07.
20/06/2016: Vistoria será realizada em 21/06, previsto projeto para até 04/07, cronograma da obra após entrega do projeto, até 08/07 junto com 2 EBC, MIn da Cultura Biblioteca. (Previsto duração da obra de 10 dias)
14/06/2016: Vistoria será realizada em 21/06, previsto projeto para até 04/07, cronograma da obra após entrega do projeto, até 08/07 junto com 2 EBC, MIn da Cultura Biblioteca. (Previsto duração da obra de 10 dias)
30/05/2016 - Em agendamento de vistoria
24/05/2016 - Em geração de ID, alocação de verba para emissão de PC de vistoria e projeto.
19/05/2016 - Encaminhadas OS e VTA para Engenharia."
DFL3000035;pend. comercial;09/09/2016;19/09/2016;0;;;05/09/2016 - Aguardando definição do comercial para seguir com lançamento de FO.
RJL3000014;pend. comercial;28/06/2016;00/00/0000;0;;;"19/09/2016 - Aguardando fornecedor enviar projeto para dar entrada no licenciamento, previsto até 23/09.
05/09/2016 - Protocolo para licenciamento só após as eleições. (05/11)
29/08/2016 - Protocolo para licenciamento só após as eleições. (05/11)
15/08/2016 - Protocolo para licenciamento só após as eleições. (05/11)
08/08/2016 - Protocolo para licenciamento só após as eleições. (05/11)
01/08/2016 - Protocolo para licenciamento só após as eleições. (05/11)
25/07/2016 - Projeto será entregue em 25/07 revisado.
18/07/2016 - Em revisão de projeto, previsto revisão até 22/07.
12/07/2016 - Vistoria realizada em 04/07, entrega do projeto previsto para 15/07/2016.
05/07/2016 - Vistoria realizada em 04/07, entrega do projeto previsto para 11/07/2016.
27/06/2016 - Cliente não autorizou vistoria, alegando não existir contrato com a Telebras."
RJL3000014;pend. implantação;19/05/2016;28/06/2016;0;0150/2016/DC/4600;18699;"27/06/2016 - Cliente não autorizou vistoria, alegando não existir contrato com a Telebras.
15/06/2016 - Em agendamento de vistoria
30/05/2016 - Em agendamento de vistoria
24/05/2016 - Em geração de ID, alocação de verba para emissão de PC de vistoria e projeto.
19/05/2016 - Encaminhadas OS e VTA para a Engenharia."
DFAC000030;em ativação;30/06/2015;02/07/2015;0;01728/2015/DC/4600;8971;"02/07 - Ativação concluída.
30/06 - Realizado handover para operação em 30/06."
DFAC000030;ativado;02/07/2015;02/07/2015;365;01728/2015/DC/4600;8971;02/07 - Cliente ativado.
DFAC000030;pend. implantação;15/06/2015;30/06/2015;0;01728/2015/DC/4600;8971;"23/06 - Lançamento de cabo óptico interno (300m) ok, aguardando ACECO TI, abrir blindagem na sala cofre para possibilitar o acesso do cado de FO, agendado para 26/06 ás 14:00 hrs.
19/06 - Cadastrado nas ferramentas de monitoração.
17/06 - Vistoria para lançamento de 300m de cabo de FO até a sala cofre será realizada em 18/06.
16/06 - Em emissão de OS para projeto e lançamento de FO interna 300m até sala cofre dos correios.
16/06 - Solicitado acesso aos correios para vistoria em 17/06.
15/06 - Recebido OS e VT. Encaminhado para Engenharia de acesso."
DFAC000030;mudança de configuração;28/07/2015;30/07/2015;365;01802/2015/DC/4600;10089;"30/07 - SFP inserida e testada pelo Augusto do NOC
28/07 - Recebido OS para inclusão de nova SFP no equipamento dos Correios.  Encaminhado solicitação para a equipe da Engenharia de Acesso"
DFL3000020;pend. comercial;20/01/2016;03/02/2016;0;;;"29/01 - Recebido pré-projeto
25/01 - Aguardando pré-projeto da eng. comercial
20/01 - Aguardando pré-projeto da eng. comercial"
DFL3000020;pend. implantação;04/02/2016;10/03/2016;0;;;"10/03/2016 - Projeto lógico ok
01/03/2016 - Em elaboração do projeto lógico
04/02/2016 - Em elaboração do projeto lógico"
DFL3000020;em ativação;10/03/2016;12/04/2016;0;;;"12/04/2016 - Em configuração da ponta de teste.
04/04/16 - EDD apresentou problemas na aceitação. Aberto nova ocorrência para aceitação do EDD. Configuração ainda pendente.
29/03/2016 - Em configuração de ccto.
11/03/2016 - Solicitado configuração e topologia do cliente
10/03/2016 - Handover realizado"
DFL3000020;pend. implantação;04/12/2015;20/01/2016;0;0021/2016/DC/4600;13172;"11/01 - Enviados OS e VTA para Engenharia
07/12 - Enviados OSO e VTA para Engenharia"
DFL3000020;pend. comercial;12/04/2016;21/06/2016;0;;;"21/06/2016 - Recebida OS de Cancelamento de Ativação de Circuito

12/04/2016 - Aguardando Comercial definir estratégia de testes do ccto."
DFL3000020;cancelado;21/06/2016;21/06/2016;0;0550/2016/DC/4600;20004;"11/08/2016 - FInalizada o Cancelamento de Ativação e informado a Comercial
21/06/2016 - Recebida OS de Cancelamento de Ativação de Circuito"
DFL3000021;pend. implantação;04/12/2015;10/03/2016;0;0022/2016/DC/4600;13179;"10/03/2016 - Projeto lógico ok
01/03/2016 - Em elaboração do projeto lógico
04/02/2016 - Em elaboração do projeto lógico
25/01/2016 - Informado pela Comercial que os jumper de responsabilidade do cliente deve ser realizado pela Telebras, em agendamento.
20/01 - Aguardando pré-projeto da eng. comercial
11/01 - Enviadas OS e VTA para Engenharia
07/12 - Enviados OSO e VTA para Engenharia"
DFL3000021;em ativação;10/03/2016;12/04/2016;0;;;"12/04/2016 - Em configuração da ponta de teste.
04/04/16 - circuito configurado OK. Aguardando a configuração dos demais circuitos para agendar os testes de ativação.
29/03/2016 - Em configuração de ccto
11/03/2016 - Solicitado configuração e topologia do cliente
10/03/2016 - Handover realizado"
DFL3000021;pend. comercial;12/04/2016;21/06/2016;0;;;"21/06/2016 - Recebida OS de Cancelamento de Ativação do Circuito
12/04/2016 - Aguardando Comercial definir estratégia de testes do ccto."
DFL3000021;cancelado;21/06/2016;21/06/2016;0;0549/2016/DC/4600;20011;"13/0/2016 - Concluída a retirada dos equipamentos e jumper.
31/08/2016 - Comercial respondeu demanda. Ser´feita nova tentativa de retirada de equipamento.

Quanto ao enlace instalado pelo SERPRO na agência Conceito dos Correios situada no SHS, os equipamentos que atendem esta unidade encontram-se instalados no segundo andar do ed. Telex. O link é interligado à unidade pela comunicação entre patch panels. Segue abaixo o contato nos Correios para o acesso e recolhimento dos equipamentos de acesso:

Nome: Ilson Almeida da Silva
E-mail: ilson@correios.com.br
Telefone: (61) 3214-5521



11/08/2016 - Demanda encaminhada para a Comercial.
11/07/2016 - Técnico esteve no local junto com SR. PETER CHARLES 61 9 8164 3330, porem o EDD não foi localizado. Em contato com Sr. Ricardo Vilanova (GOM), o mesmo pede para aguardar pois entrara em contato com a comercial para verificar localização do equipamento.
11/07/2016 - Foi agendado com o Sr. Peter Charles (61) 2141-9670, no Correios do Setor Bancário Norte, a retirada do equipamento EDD Modelo DM2104G2 e número de Série: 1759313.
Técnico da Telebras esteve no local junto com Sr. Peter Charles (61) 98164-3330, porém o EDD não foi localizado.
21/06/2016 - Recebida OS de Cancelamento de Ativação do Circuito"
DFL3000022;pend. implantação;23/03/2016;04/04/2016;0;;;"04/04/16 - Engenharia atualizou projeto de Cliente
29/03/16 - Aguardando retorno da Engenharia para o conflito de Vlan informada pelo CIGR
23/03/16 - Solicitado à DT_Dados que verifique o conflito de VLan informadas pelo CIGR"
